category,db_id,db_name,db_team,db_dob,sfix_jleague_id,sfix_name,sfix_team,sfix_dob,note
name-only,9005305,田中 翼冴,八戸,,70822,田中 翼冴,八戸,2007-07-18,single name match
name-only,9005306,高橋 クリス,讃岐,,58719,高橋 クリス,讃岐,2002-01-11,single name match
name-only,9005307,ファビオ アゼヴェド,岐阜,,71383,ファビオ アゼヴェド,岐阜,1999-01-04,single name match
name-only,9005308,辻岡 招真,讃岐,,70862,辻岡 招真,讃岐,2004-03-05,single name match
name-only,9005309,咲本 大,FC大阪,,70866,咲本 大,FC大阪,2007-07-26,single name match
name-only,9005310,山本 颯太,鳥取,,71387,山本 颯太,鳥取,2004-12-04,single name match
name-only,9005311,薬真寺 孝弥,滋賀,,70574,薬真寺 孝弥,滋賀,1999-03-07,single name match
name-only,9005312,中田 舜貴,長野,,45313,中田 舜貴,長野,2002-05-21,single name match
name-only,9005313,オラスンカンミ,奈良,,70849,オラスンカンミ,奈良,2007-07-21,single name match
name-only,9005314,本多 康太郎,八戸,,45254,本多 康太郎,八戸,2006-05-20,single name match
name-only,9005315,ペドロ アウグスト,栃木C,,71419,ペドロ アウグスト,栃木Ｃ,1997-03-03,single name match
name-only,9005316,リ トビン,松本,,70788,リ トビン,松本,2003-09-24,single name match
name-only,9005317,戸田 峻平,熊本,,70802,戸田 峻平,熊本,2004-01-16,single name match
name-only,9005318,佐藤 遼,宮崎,,70171,佐藤 遼,宮崎,2004-01-08,single name match
name-only,9005319,芳野 凱斗,鳥栖,,71418,芳野 凱斗,鳥栖,2005-03-30,single name match
name-only,9005320,小池 直矢,磐田,,71420,小池 直矢,磐田,2005-02-12,single name match
name-only,9005363,栗山 直樹,山形,,11333,栗山 直樹,愛媛,1990-12-08,single name match
name-only,9005364,パウロ バイヤ,甲府,,37972,パウロ バイヤ,甲府,1999-07-26,single name match
name-only,9005365,狩土名 禅,北九州,,37974,狩土名 禅,北九州,1998-05-12,single name match
name-only,9005367,鳥養 祐矢,琉球,,7903,鳥養 祐矢,琉球,1988-05-11,single name match
name-only,9005368,アジェノール,相模原,,38020,アジェノール,相模原,1989-12-11,single name match
name-only,9005369,クンデ,相模原,,40841,クンデ,相模原,1997-09-17,single name match
name-only,9005370,作田 裕次,金沢,,10876,作田 裕次,金沢,1987-12-04,single name match
name-only,9005371,ヘニキ,山口,,12082,ヘニキ,岐阜,1989-09-08,single name match
name-only,9005409,清川 流石,愛媛,,32389,清川 流石,愛媛,1996-07-20,single name match
name-only,9005411,ペドロ マンジー,新潟,,37559,ペドロ マンジー,新潟,1988-10-13,single name match
name-only,9005412,摂津 颯登,山形,,12142,摂津 颯登,山形,1996-10-05,single name match
name-only,9005413,松本 健太,大宮,,32720,松本 健太,柏,1997-05-04,single name match
name-only,9005414,竹嶋 裕二,愛媛,,29241,竹嶋 裕二,愛媛,1999-06-11,single name match
name-only,9005415,内藤 洋平,北九州,,10949,内藤 洋平,北九州,1988-07-09,single name match
name-only,9005417,川村 琉偉,琉球,,37810,川村 琉偉,琉球,2003-01-07,single name match
name-only,9005418,中村 駿太,山形,,29297,中村 駿太,讃岐,1999-05-10,single name match
name-only,9005419,磐瀬 剛,群馬,,11863,磐瀬 剛,群馬,1995-06-28,single name match
name-only,9005421,シシーニョ,愛媛,,23256,シシーニョ,愛媛,1986-04-22,single name match
name-only,9005422,伊藤 竜司,栃木,,10341,伊藤 竜司,栃木SC,1990-07-23,single name match
name-only,9005423,丸山 嵩大,新潟,,37783,丸山 嵩大,富山,2004-08-16,single name match
name-only,9005424,菅 和範,栃木,,9711,菅 和範,栃木SC,1985-11-11,single name match
name-only,9005425,田中 奏一,鹿児島,,8399,田中 奏一,鹿児島,1989-06-27,single name match
name-only,9005426,ウイリアン,鹿児島,,29578,ウイリアン,鹿児島,1987-02-11,single name match
name-only,9005427,中原 優生,鹿児島,,19149,中原 優生,鹿児島,1993-06-15,single name match
name-only,9005428,藤澤 典隆,鹿児島,,8296,藤澤 典隆,鹿児島,1988-08-23,single name match
name-only,9005429,赤尾 公,鹿児島,,19145,赤尾 公,鹿児島,1988-02-15,single name match
name-only,9005430,吉井 孝輔,鹿児島,,7714,吉井 孝輔,鹿児島,1986-03-19,single name match
name-only,9005431,薗田 卓馬,鹿児島,,23221,薗田 卓馬,宮崎,1993-06-14,single name match
name-only,9005433,ダヴィッド バブンスキー,大宮,,23277,ダヴィッド バブンスキー,大宮,1994-03-01,single name match
name-only,9005434,佐藤 洸一,甲府,,10272,佐藤 洸一,甲府,1986-11-28,single name match
name-only,9005435,ユ ヒョン,栃木,,32456,ユ ヒョン,栃木SC,1984-08-01,single name match
name-only,9005436,阿部 正紀,岐阜,,12092,阿部 正紀,岐阜,1991-12-25,single name match
name-only,9005437,永島 悠史,岐阜,,12113,永島 悠史,鳥取,1996-07-12,single name match
name-only,9005438,ライアン デ フリース,岐阜,,29333,ライアン デ フリース,岐阜,1991-09-14,single name match
name-only,9005439,原田 祐輔,岐阜,,29331,原田 祐輔,岐阜,1991-05-17,single name match
name-only,9005440,会津 雄生,岐阜,,12137,会津 雄生,岐阜,1996-08-01,single name match
name-only,9005443,カルバハル,琉球,,29316,ダニー カルバハル,琉球,1989-01-08,single name match
name-only,9005444,新井 純平,琉球,,11228,新井 純平,琉球,1994-11-12,team narrow-down
name-only,9005445,越智 亮介,琉球,,8940,越智 亮介,今治,1990-04-07,single name match
name-only,9005448,神田 夢実,愛媛,,11326,神田 夢実,YS横浜,1994-09-14,single name match
name-only,9005451,ドストン,山口,,32368,ドストン,山口,1995-06-13,single name match
name-only,9005452,マルシーリオ,山口,,32475,マルシーリオ,山口,1995-08-10,single name match
name-only,9005453,山本 凌太郎,横浜FC,,23160,山本 凌太郎,YS横浜,1998-12-07,single name match
name-only,9005455,クルーニー,金沢,,32359,クルーニー,金沢,1994-12-20,single name match
name-only,9005456,古波津 辰希,栃木,,15948,古波津 辰希,栃木SC,1993-09-11,single name match
name-only,9005457,小野 悠斗,岐阜,,9353,小野 悠斗,岐阜,1991-09-28,single name match
name-only,9005460,ヤン オレ ジーバース,岐阜,,32477,ヤン オレ ジーバース,岐阜,1995-02-16,single name match
name-only,9005461,咸 泳俊,岐阜,,32341,ハム ヨンジュン,岐阜,1997-05-04,single name match
name-only,9005462,玉林 睦実,愛媛,,10283,玉林 睦実,愛媛,1984-10-12,single name match
name-only,9005463,廣瀬 浩二,栃木,,8630,廣瀬 浩二,栃木SC,1984-03-13,single name match
name-only,9005464,山岡 哲也,鹿児島,,19153,山岡 哲也,鹿児島,1990-03-04,single name match
name-only,9005465,枝本 雄一郎,鹿児島,,11306,枝本 雄一郎,藤枝,1988-08-06,single name match
name-only,9005468,ユトリッチ,愛媛,,32511,ユトリッチ,愛媛,1996-04-19,single name match
name-only,9005469,ロビン シモヴィッチ,大宮,,19261,ロビン シモヴィッチ,大宮,1991-05-29,single name match
name-only,9005470,水本 勝成,鹿児島,,10930,水本 勝成,鹿児島,1990-02-19,single name match
name-only,9005471,萱沼 優聖,鹿児島,,15923,萱沼 優聖,YS横浜,1993-08-06,single name match
name-only,9005473,サムエル サントス,新潟,,32448,サムエル サントス,新潟,1990-04-25,single name match
name-only,9005474,フランシス,新潟,,32450,フランシス,新潟,1990-04-16,single name match
name-only,9005475,フレデリック,岐阜,,32340,フレデリック,岐阜,1990-09-27,single name match
name-only,9005476,後藤 京介,甲府,,23177,後藤 京介,岩手,1992-07-29,single name match
name-only,9005477,ニウド,鹿児島,,12105,ニウド,鹿児島,1993-08-23,single name match
name-only,9005479,パウロン,新潟,,11322,パウロン,岐阜,1989-12-04,single name match
name-only,9005480,イ レジュン,栃木,,32593,イ レジュン,栃木SC,1997-03-19,single name match
name-only,9005481,田上 裕,鹿児島,,19154,田上 裕,鹿児島,1986-01-12,single name match
name-only,9005482,田所 諒,横浜FC,,7341,田所 諒,横浜FC,1986-04-08,single name match
name-only,9005483,金 成純,琉球,,29287,金 成純,琉球,1995-12-31,single name match
name-only,9005484,坂田 良太,栃木,,11443,坂田 良太,栃木SC,1992-02-25,single name match
name-only,9005485,冨成 慎司,鹿児島,,7088,冨成 慎司,鹿児島,1987-02-22,single name match
name-only,9005486,チャキット,徳島,,32323,チャキット,徳島,1994-12-02,single name match
name-only,9005487,儀保 幸英,琉球,,23310,儀保 幸英,宮崎,1996-04-02,single name match
name-only,9005488,荒井 秀賀,栃木,,19304,荒井 秀賀,栃木SC,1999-10-29,single name match
name-only,9005489,ミシャエル,岐阜,,29557,ミシャエル,岐阜,1996-02-16,single name match
name-only,9005492,水上 珠吏,甲府,,32615,水上 珠吏,甲府,2001-05-18,single name match
name-only,9005493,西岡 謙太,鹿児島,,10878,西岡 謙太,鹿児島,1987-04-15,single name match
name-only,9005494,キム ヒョン,栃木,,32648,キム ヒョン,栃木SC,1993-05-03,single name match
name-only,9005497,ヨン ジェミン,鹿児島,,32693,ヨン ジェミン,鹿児島,1993-05-28,single name match
name-only,9005498,ユウリ,栃木,,32708,ユーリ ララ,横浜FC,1994-04-20,single name match
name-only,9005499,アラーノ,甲府,,32707,アラーノ,甲府,1995-04-24,single name match
name-only,9005500,猿田 遥己,鹿児島,,23168,猿田 遥己,柏,1999-04-23,single name match
name-only,9005502,浅沼 優瑠,栃木,,15833,浅沼 優瑠,長崎,1992-04-12,single name match
name-only,9005503,中川 裕仁,愛媛,,29579,中川 裕仁,愛媛,2000-05-25,single name match
name-only,9000042,マリウス ホイブラーテン,浦和,,49673,マリウス ホイブラーテン,浦和,1995-01-23,single name match
name-only,9000047,長倉 幹樹,浦和,,49251,長倉 幹樹,FC東京,1999-10-07,single name match
name-only,9000016,植中 朝日,横浜FM,,37631,植中 朝日,Ｇ大阪,2001-11-01,single name match
name-only,9000015,ヤン マテウス,横浜FM,,49284,ヤン マテウス,横浜FM,1998-09-04,single name match
name-only,9000043,松本 泰志,浦和,,19671,松本 泰志,広島,1998-08-22,single name match
name-only,9005505,薮内 健人,岐阜,,11206,薮内 健人,岩手,1995-01-21,single name match
name-only,9005506,ジョニー レオーニ,栃木,,19472,ジョニー レオーニ,栃木SC,1984-06-30,single name match
name-only,9005507,修行 智仁,大分,,11161,修行 智仁,今治,1984-06-29,single name match
name-only,9005508,清本 拓己,大分,,11342,清本 拓己,FC大阪,1993-06-07,single name match
name-only,9005509,原田 直樹,金沢,,12020,原田 直樹,金沢,1991-08-05,single name match
name-only,9005511,市村 篤司,讃岐,,7228,市村 篤司,讃岐,1984-11-18,single name match
name-only,9005512,パク チャニョン,讃岐,,15855,パク チャニョン,讃岐,1996-01-27,single name match
name-only,9005513,麻田 将吾,讃岐,,19513,麻田 将吾,京都,1998-07-06,single name match
name-only,9005514,木島 徹也,讃岐,,11100,木島 徹也,讃岐,1983-08-20,single name match
name-only,9005515,ソン ヨンミン,讃岐,,23372,ソン ヨンミン,讃岐,1995-03-11,single name match
name-only,9005516,武田 有祐,讃岐,,9305,武田 有祐,讃岐,1991-07-20,single name match
name-only,9005517,フェリペ アウベス,山形,,29299,フェリペ アウベス,山形,1990-05-06,team narrow-down
name-only,9005518,井筒 陸也,徳島,,19188,井筒 陸也,徳島,1994-02-10,single name match
name-only,9005521,鈴木 翔登,熊本,,15739,鈴木 翔登,福島,1992-10-16,single name match
name-only,9005522,坂本 広大,熊本,,11439,坂本 広大,熊本,1995-09-20,single name match
name-only,9005523,畑 実,熊本,,11120,畑 実,鹿児島,1989-03-30,single name match
name-only,9005524,上原 拓郎,熊本,,10688,上原 拓郎,今治,1991-07-08,single name match
name-only,9005525,八久保 颯,熊本,,19213,八久保 颯,熊本,1993-06-23,single name match
name-only,9005528,イム ジンウ,熊本,,23127,イム ジンウ,熊本,1993-06-15,single name match
name-only,9005529,林 祥太,熊本,,23126,林 祥太,熊本,1995-02-24,single name match
name-only,9005531,髙橋 壱晟,山口,,23194,髙橋 壱晟,千葉,1998-04-20,single name match
name-only,9005532,大石 治寿,山口,,12094,大石 治寿,藤枝,1989-09-25,single name match
name-only,9005536,植田 龍仁朗,熊本,,7453,植田 龍仁朗,熊本,1988-01-29,single name match
name-only,9005539,ペ スンジン,横浜FC,,9451,ペ スンジン,横浜FC,1987-11-03,single name match
name-only,9005540,立花 歩夢,横浜FC,,29255,立花 歩夢,相模原,1995-11-04,single name match
name-only,9005541,佐野 翼,熊本,,29275,佐野 翼,長野,1994-10-18,single name match
name-only,9005542,姫野 宥弥,大分,,15752,姫野 宥弥,八戸,1996-09-27,single name match
name-only,9005543,林 友哉,讃岐,,19505,林 友哉,YS横浜,1999-08-27,single name match
name-only,9005544,似鳥 康太,熊本,,15732,似鳥 康太,熊本,1996-04-16,single name match
name-only,9005546,ジェルソン ビエイラ,山口,,29432,ジェルソン ビエイラ,山口,1992-10-04,single name match
name-only,9005548,上形 洋介,栃木,,15813,上形 洋介,八戸,1992-09-25,single name match
name-only,9005549,村上 巧,熊本,,11175,村上 巧,熊本,1989-09-12,single name match
name-only,9005550,池谷 友喜,熊本,,11437,池谷 友喜,讃岐,1995-06-27,single name match
name-only,9005551,杉本 真,栃木,,10855,杉本 真,栃木SC,1987-10-27,single name match
name-only,9005554,ジャイロ ロドリゲス,山形,,29300,ジャイロ ロドリゲス,山形,1992-12-31,single name match
name-only,9005555,廣田 隆治,山口,,10758,廣田 隆治,岩手,1993-07-16,single name match
name-only,9005558,バラル,徳島,,29553,バラル,徳島,1983-05-10,single name match
name-only,9005560,アラン,金沢,,11506,アラン,金沢,1989-02-20,team narrow-down
name-only,9005562,青木 翼,岐阜,,15942,青木 翼,群馬,1993-11-17,single name match
name-only,9005563,エセキエル ハム,岐阜,,29380,エセキエル ハム,岐阜,1994-03-10,single name match
name-only,9005565,山藤 健太,金沢,,12009,山藤 健太,金沢,1986-11-14,single name match
name-only,9005566,濱口 草太,讃岐,,29237,濱口 草太,讃岐,1999-05-22,single name match
name-only,9005567,福家 勇輝,讃岐,,11862,福家 勇輝,讃岐,1991-04-25,single name match
name-only,9005568,長澤 拓哉,讃岐,,23117,長澤 拓哉,讃岐,1993-04-10,single name match
name-only,9005569,荻野 広大,讃岐,,15950,荻野 広大,京都,1997-05-02,single name match
name-only,9005570,大沢 朋也,讃岐,,7463,大沢 朋也,讃岐,1984-10-22,single name match
name-only,9005571,パク ゴン,群馬,,11313,パク ゴン,群馬,1990-07-11,single name match
name-only,9005572,川岸 祐輔,群馬,,15831,川岸 祐輔,群馬,1992-05-26,single name match
name-only,9005573,鈴木 崇文,群馬,,11166,鈴木 崇文,群馬,1987-11-17,single name match
name-only,9005574,高橋 駿太,群馬,,9128,高橋 駿太,富山,1989-02-09,single name match
name-only,9005580,ヴァシリェヴィッチ,徳島,,23206,ヴァシリェヴィッチ,徳島,1991-06-30,single name match
name-only,9005586,永藤 歩,山形,,19174,永藤 歩,山形,1997-12-25,single name match
name-only,9005587,野崎 陽介,横浜FC,,9098,野崎 陽介,横浜FC,1985-02-16,single name match
name-only,9005588,ヨ ソンヘ,松本,,10835,ヨ ソンヘ,群馬,1987-08-06,single name match
name-only,9005589,山田 晃平,岐阜,,10894,山田 晃平,岐阜,1989-01-08,single name match
name-only,9005590,安田 晃大,愛媛,,8326,安田 晃大,愛媛,1989-08-08,single name match
name-only,9005591,太田 康介,金沢,,8758,太田 康介,金沢,1982-10-26,single name match
name-only,9005592,大槻 優平,金沢,,7870,大槻 優平,金沢,1988-05-06,single name match
name-only,9005593,富田 康仁,金沢,,12011,富田 康仁,沼津,1990-04-18,single name match
name-only,9005594,嶺岸 佳介,金沢,,12061,嶺岸 佳介,沼津,1991-09-12,single name match
name-only,9005596,出岡 大輝,群馬,,11211,出岡 大輝,藤枝,1994-08-16,single name match
name-only,9005597,イ ガンウ,群馬,,19687,イ ガンウ,群馬,1994-03-19,single name match
name-only,9005598,楠元 秀真,横浜FC,,12157,楠元 秀真,富山,1992-09-12,single name match
name-only,9005599,綱田 大志,讃岐,,11508,綱田 大志,讃岐,1984-04-05,single name match
name-only,9000008,北野 颯太,C大阪,,37855,北野 颯太,Ｃ大阪,2004-08-13,single name match
name-only,9000012,井上 健太,横浜FM,,37666,井上 健太,清水,1998-07-23,single name match
name-only,9005602,三原 向平,愛媛,,11172,三原 向平,愛媛,1989-12-08,single name match
name-only,9005604,瀧谷 亮,岐阜,,19393,瀧谷 亮,富山,1994-02-16,single name match
name-only,9005605,アシチェリッチ,徳島,,23208,アシチェリッチ,徳島,1991-04-19,single name match
name-only,9005606,山本 翔平,讃岐,,3019,山本 翔平,讃岐,1982-08-29,single name match
name-only,9005609,阿渡 真也,金沢,,12006,阿渡 真也,藤枝,1990-06-07,single name match
name-only,9005610,岡 佳樹,松本,,23154,岡 佳樹,八戸,1994-04-26,single name match
name-only,9005613,堀田 秀平,愛媛,,8246,堀田 秀平,秋田,1989-05-12,single name match
name-only,9005614,市川 恵多,群馬,,11358,市川 恵多,群馬,1990-10-03,single name match
name-only,9005616,大津 耀誠,大分,,11878,大津 耀誠,相模原,1995-08-07,single name match
name-only,9005617,朴 昇利,群馬,,19223,朴 昇利,沼津,1993-01-18,single name match
name-only,9005618,イ ジェスン,山形,,19172,イ ジェスン,山形,1994-07-21,single name match
name-only,9005619,ユン ソンホ,讃岐,,23320,ユン ソンホ,讃岐,1995-11-08,single name match
name-only,9005620,ク ボンヒョク,山形,,19643,ク ボンヒョク,山形,1998-02-09,single name match
name-only,9005621,チェ ジュンギ,群馬,,23304,チェ ジュンギ,群馬,1994-04-13,single name match
name-only,9005622,村田 翔,群馬,,7319,村田 翔,群馬,1987-04-02,single name match
name-only,9005624,シキーニョ,湘南,,23253,シキーニョ,大分,1989-07-27,single name match
name-only,9005626,クリスチャン,岐阜,,23289,クリスチャン,岐阜,1993-12-01,single name match
name-only,9005627,松本 蓮,山口,,23417,松本 蓮,山口,1999-09-15,single name match
name-only,9005629,鈴木 潤,岐阜,,15891,鈴木 潤,岐阜,1993-07-30,single name match
name-only,9005630,レオナルド ラモス,山口,,23502,レオナルド ラモス,山口,1989-08-21,single name match
name-only,9005633,マルセロ ビダル,山口,,23489,マルセロ ビダル,山口,1991-01-15,single name match
name-only,9005634,アベル ルシアッティ,山口,,23516,アベル ルシアッティ,山口,1993-02-18,single name match
name-only,9005637,吉田 直矢,群馬,,23506,吉田 直矢,岩手,1994-12-20,single name match
name-only,9005638,水永 翔馬,金沢,,11390,水永 翔馬,宮崎,1985-05-22,single name match
name-only,9005639,ロマリーニョ,金沢,,19190,ロマリーニョ,金沢,1993-09-20,single name match
name-only,9005642,曵地 裕哉,愛媛,,8895,曵地 裕哉,愛媛,1990-09-02,single name match
name-only,9005643,パク カンイル,愛媛,,11397,パク カンイル,愛媛,1991-02-10,single name match
name-only,9005645,森川 泰臣,熊本,,11049,森川 泰臣,藤枝,1994-09-27,single name match
name-only,9005646,ウィリアンス,松本,,15933,ウィリアンス,松本,1988-05-22,single name match
name-only,9005647,デニス ハリロヴィッチ,横浜FC,,19194,デニス ハリロヴィッチ,横浜FC,1986-03-02,single name match
name-only,9005648,常盤 聡,群馬,,8050,常盤 聡,群馬,1987-05-14,single name match
name-only,9005649,小牟田 洋佑,群馬,,15830,小牟田 洋佑,福島,1992-07-18,single name match
name-only,9005650,イム チョンビン,群馬,,19225,イム チョンビン,群馬,1993-02-04,single name match
name-only,9005651,野垣内 俊,岐阜,,10273,野垣内 俊,岐阜,1986-09-11,single name match
name-only,9005652,苅部 隆太郎,岐阜,,9790,苅部 隆太郎,岐阜,1992-12-19,single name match
name-only,9005653,髙地 系治,岐阜,,6543,髙地 系治,岐阜,1980-04-23,single name match
name-only,9005654,レオナルド ロシャ,岐阜,,19273,レオナルド ロシャ,岐阜,1985-03-07,single name match
name-only,9005655,エヴァンドロ,岐阜,,15757,エヴァンドロ,岐阜,1987-09-26,single name match
name-only,9005656,寺岡 真弘,北九州,,10074,寺岡 真弘,北九州,1991-11-13,single name match
name-only,9005657,弓崎 恭平,北九州,,12169,弓崎 恭平,富山,1992-10-30,single name match
name-only,9005658,ディエゴ ローザ,山形,,19160,ディエゴ ローザ,山形,1989-03-23,single name match
